Bagged	OTU_5098	OTU_45	0.246083	0.0559117
Bagged	OTU_5098	OTU_5823	0.235254	0.0679873
Bagged	OTU_5098	OTU_3505	-0.216205	0.0942208
Bagged	OTU_5098	OTU_9	0.2394	0.0631386
Bagged	OTU_5098	OTU_2220	0.387139	0.00205441
Bagged	OTU_5098	OTU_5838	0.268761	0.0362271
Bagged	OTU_5098	OTU_80	0.313996	0.0137272
Bagged	OTU_5098	OTU_82	0.465393	0.000157291
Bagged	OTU_5098	OTU_88	-0.286496	0.0251908
Bagged	OTU_5098	OTU_591	0.411661	0.0009803
Bagged	OTU_5098	OTU_5816	0.318136	0.0124684
Bagged	OTU_5098	OTU_5755	0.230441	0.0739863
Bagged	OTU_5098	OTU_3559	0.438671	0.000405763
Bagged	OTU_5098	OTU_5257	0.444468	0.000332533
Bagged	OTU_5098	OTU_5970	-0.219538	0.0891333
Bagged	OTU_5098	OTU_5822	-0.248238	0.0537304
Bagged	OTU_5098	OTU_78	0.286016	0.0254469
Bagged	OTU_5098	OTU_268	0.258654	0.044141
Bagged	OTU_5098	OTU_74	0.270115	0.0352626
Bagged	OTU_2529	OTU_20	0.255933	0.0464985
Bagged	OTU_2529	OTU_5629	0.26253	0.0409526
Bagged	OTU_2529	OTU_5838	0.213885	0.0978947
Bagged	OTU_2529	OTU_550	0.277092	0.0306249
Bagged	OTU_2529	OTU_42	0.301285	0.0182974
Bagged	OTU_2529	OTU_3924	0.241956	0.0602908
Bagged	OTU_2529	OTU_5755	0.327777	0.00991641
Bagged	OTU_2529	OTU_22	0.251597	0.0504688
Bagged	OTU_2529	OTU_5257	0.327199	0.0100555
Bagged	OTU_2529	OTU_2168	0.291666	0.0225665
Bagged	OTU_2529	OTU_3496	0.30279	0.0176962
Bagged	OTU_2529	OTU_5822	0.25613	0.0463241
Bagged	OTU_2529	OTU_110	0.326932	0.0101205
Bagged	OTU_2529	OTU_4227	-0.286231	0.025332
Bagged	OTU_45	OTU_6	0.239106	0.0634729
Bagged	OTU_45	OTU_20	0.349506	0.00576396
Bagged	OTU_45	OTU_64	0.294993	0.0210034
Bagged	OTU_45	OTU_5	-0.269924	0.0353971
