repseq	Y_OTUS	domain	phylum	class	order	family	genus	species
667|336	Y_OTU_101	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium equiseti
671|1093	Y_OTU_160	Fungi	Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota
671|2080	Y_OTU_72	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium delphinoides
671|2979	Y_OTU_385	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Metschnikowia	Metschnikowia reukaufii
671|3636	Y_OTU_50	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Pyrenophora	Pyrenophora seminiperda
671|442	Y_OTU_380	Fungi	Basidiomycota	unclassified_Basidiomycota	unclassified_Basidiomycota	unclassified_Basidiomycota	unclassified_Basidiomycota	unclassified_Basidiomycota
671|726	Y_OTU_53	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Aspergillus	Aspergillus versicolor
679|1433	Y_OTU_40	Fungi	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Erysiphe	Erysiphe australiana
679|1680	Y_OTU_102	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium equiseti
679|2214	Y_OTU_51	Fungi	Basidiomycota	Agaricomycetes	Russulales	Stereaceae	Stereum	Stereum sanguinolentum
679|2394	Y_OTU_4	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Graphiopsis	Graphiopsis chlorocephala
679|3127	Y_OTU_347	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Trichomonascaceae	Blastobotrys	Blastobotrys adeninivorans
679|3219	Y_OTU_73	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium delphinoides
679|825	Y_OTU_28	Fungi	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Erysiphe	unclassified_Erysiphe
680|1637	Y_OTU_348	Fungi	unclassified_Fungi	unclassified_Fungi	unclassified_Fungi	unclassified_Fungi	unclassified_Fungi	unclassified_Fungi
680|1658	Y_OTU_289	Fungi	Ascomycota	Leotiomycetes	Helotiales	unclassified_Helotiales	unclassified_Helotiales	unclassified_Helotiales
680|4075	Y_OTU_195	Fungi	Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota
680|4751	Y_OTU_362	Fungi	Ascomycota	Sordariomycetes	Sordariomycetidae_Incertae sedis	Plectosphaerellaceae	Plectosporium	unclassified_Plectosporium
680|4837	Y_OTU_304	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium equiseti
680|7470	Y_OTU_20	Fungi	Basidiomycota	Agaricomycetes	unclassified_Agaricomycetes	unclassified_Agaricomycetes	unclassified_Agaricomycetes	unclassified_Agaricomycetes
680|75	Y_OTU_43	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Fomitopsidaceae	Fomitopsis	Fomitopsis cajanderi
681|2266	Y_OTU_74	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Thelephora	Thelephora terrestris
681|3435	Y_OTU_382	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellales_Incertae sedis	Dioszegia	unclassified_Dioszegia
681|5613	Y_OTU_409	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	unclassified_Saccharomycetales	unclassified_Saccharomycetales	unclassified_Saccharomycetales
681|6885	Y_OTU_177	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Pleospora	unclassified_Pleospora
681|7688	Y_OTU_408	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	unclassified_Saccharomycetales	unclassified_Saccharomycetales	unclassified_Saccharomycetales
681|8756	Y_OTU_129	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	Cladophialophora chaetospira
682|3939	Y_OTU_296	Fungi	Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota
682|4930	Y_OTU_355	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_Incertae sedis	Phoma	Phoma paspali
685|2626	Y_OTU_386	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Metschnikowia	Metschnikowia reukaufii
685|3532	Y_OTU_290	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Teratosphaeriaceae	Teratosphaeria	Catenulostroma abietis
685|4967	Y_OTU_391	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Metschnikowia	Metschnikowia reukaufii
685|7059	Y_OTU_190	Fungi	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Podosphaera	Podosphaera leucotricha
686|1174	Y_OTU_124	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Lewia	unclassified_Lewia
686|1996	Y_OTU_173	Fungi	Basidiomycota	Agaricomycetes	unclassified_Agaricomycetes	unclassified_Agaricomycetes	unclassified_Agaricomycetes	unclassified_Agaricomycetes
686|2475	Y_OTU_261	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Davidiella	Cladosporium colombiae
686|3741	Y_OTU_266	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_Incertae sedis	unclassified_Hypocreales_Incertae sedis	unclassified_Hypocreales_Incertae sedis
686|909	Y_OTU_75	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium delphinoides
695|2000	Y_OTU_349	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Didymella	Phoma tropica
695|2067	Y_OTU_76	Fungi	Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota
695|2414	Y_OTU_315	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolales_Incertae sedis	Sporobolomyces	Sporobolomyces salicinus
695|5224	Y_OTU_243	Fungi	Ascomycota	Leotiomycetes	Helotiales	unclassified_Helotiales	unclassified_Helotiales	unclassified_Helotiales
698|1249	Y_OTU_415	Fungi	Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota
698|2441	Y_OTU_231	Fungi	Zygomycota	Mucoromycotina_Incertae sedis	Mortierellales	Mortierellaceae	Mortierella	unclassified_Mortierella
699|1704	Y_OTU_113	Fungi	Ascomycota	Eurotiomycetes	Ascosphaerales	Ascosphaeraceae	Ascosphaera	Ascosphaera subglobosa
703|4373	Y_OTU_14	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Wilcoxina	Wilcoxina mikolae
703|514	Y_OTU_82	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium delphinoides
703|5195	Y_OTU_103	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium equiseti
704|1488	Y_OTU_210	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Chaetothyriales_Incertae sedis	Coniosporium	Coniosporium apollinis
704|3623	Y_OTU_318	Fungi	Ascomycota	Eurotiomycetes	Mycocaliciales	Mycocaliciaceae	Mycocalicium	Mycocalicium victoriae
704|3636	Y_OTU_114	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium delphinoides
704|4968	Y_OTU_148	Fungi	Ascomycota	Sordariomycetes	Coniochaetales	Coniochaetaceae	Lecythophora	unclassified_Lecythophora
704|86	Y_OTU_2	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Graphiopsis	Graphiopsis chlorocephala
705|87	Y_OTU_83	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Phialophora	Phialophora reptans
706|1204	Y_OTU_244	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Crocicreas	unclassified_Crocicreas
706|1915	Y_OTU_132	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeria	Phaeosphaeria herpotrichoides
706|2829	Y_OTU_232	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Pezoloma	Cadophora finlandica
706|3414	Y_OTU_272	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_Incertae sedis	Acremonium	Acremonium brachypenium
706|852	Y_OTU_104	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium equiseti
707|4461	Y_OTU_39	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Inocybe jacobi
707|5192	Y_OTU_105	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium equiseti
707|9018	Y_OTU_77	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium delphinoides
708|3645	Y_OTU_115	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium equiseti
708|6786	Y_OTU_291	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	unclassified_Saccharomycetales	unclassified_Saccharomycetales	unclassified_Saccharomycetales
710|1406	Y_OTU_139	Fungi	Basidiomycota	Microbotryomycetes	unclassified_Microbotryomycetes	unclassified_Microbotryomycetes	unclassified_Microbotryomycetes	unclassified_Microbotryomycetes
710|1767	Y_OTU_166	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Valsaceae	Cytospora	Cytospora austromontana
710|518	Y_OTU_403	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellales_Incertae sedis	unclassified_Tremellales_Incertae sedis	unclassified_Tremellales_Incertae sedis
710|519	Y_OTU_381	Fungi	Basidiomycota	unclassified_Basidiomycota	unclassified_Basidiomycota	unclassified_Basidiomycota	unclassified_Basidiomycota	unclassified_Basidiomycota
710|6634	Y_OTU_237	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_Incertae sedis	Ochrocladosporium	Coniothyrium telephii
710|965	Y_OTU_225	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_Incertae sedis	Myrothecium	Myrothecium roridum
802|120	Y_OTU_106	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium equiseti
802|1581	Y_OTU_273	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium	Filobasidium capsuligenum
802|203	Y_OTU_116	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Steccherinaceae	Irpex	Irpex hydnoides
802|209	Y_OTU_292	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Sporidiobolus	Sporidiobolus salmonicolor
802|2430	Y_OTU_78	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Lecanoraceae	Lecanora	Lecanora orosthea
802|2436	Y_OTU_149	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Flavopunctelia	Flavopunctelia flaventior
802|2437	Y_OTU_383	Fungi	Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota
802|3145	Y_OTU_238	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Mrakia	Mrakia gelida
802|615	Y_OTU_370	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolales_Incertae sedis	unclassified_Sporidiobolales_Incertae sedis	unclassified_Sporidiobolales_Incertae sedis
802|8123	Y_OTU_363	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Thysanophora	Thysanophora penicillioides
804|1429	Y_OTU_267	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_Incertae sedis	Acremonium	Acremonium brachypenium
804|2893	Y_OTU_410	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Metschnikowia	Metschnikowia reukaufii
804|6883	Y_OTU_328	Fungi	Zygomycota	Mucoromycotina_Incertae sedis	Mortierellales	Mortierellaceae	Mortierella	Mortierella elongata
804|9248	Y_OTU_23	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unclassified_Pleosporales	unclassified_Pleosporales	unclassified_Pleosporales
805|1797	Y_OTU_150	Fungi	Ascomycota	Sordariomycetes	Sordariomycetidae_Incertae sedis	Plectosphaerellaceae	Plectosporium	Plectosporium alismatis
805|5012	Y_OTU_262	Fungi	Ascomycota	Sordariomycetes	unclassified_Sordariomycetes	unclassified_Sordariomycetes	unclassified_Sordariomycetes	unclassified_Sordariomycetes
809|2046	Y_OTU_281	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolales_Incertae sedis	Rhodotorula	Rhodotorula mucilaginosa
809|8082	Y_OTU_25	Fungi	Basidiomycota	Agaricomycetes	Boletales	Rhizopogonaceae	Rhizopogon	Rhizopogon pseudoroseolus
814a|981	Y_OTU_54	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Aspergillus	Aspergillus versicolor
818|1399	Y_OTU_205	Fungi	Basidiomycota	Agaricomycetes	unclassified_Agaricomycetes	unclassified_Agaricomycetes	unclassified_Agaricomycetes	unclassified_Agaricomycetes
818|1690	Y_OTU_107	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium equiseti
818|3116	Y_OTU_31	Fungi	Ascomycota	Pezizomycotina_Incertae sedis	Pezizomycotina_Incertae sedis	Pezizomycotina_Incertae sedis	Knufia	Sarcinomyces petricola
818|884	Y_OTU_389	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Metschnikowia	Metschnikowia reukaufii
820|4350	Y_OTU_45	Fungi	Basidiomycota	Agaricomycetes	Boletales	Suillaceae	Suillus	Suillus lakei
820|6160	Y_OTU_11	Fungi	unclassified_Fungi	unclassified_Fungi	unclassified_Fungi	unclassified_Fungi	unclassified_Fungi	unclassified_Fungi
823|247	Y_OTU_250	Fungi	Ascomycota	Leotiomycetes	Leotiomycetes_Incertae sedis	Leotiomycetes_Incertae sedis	Leohumicola	Leohumicola levissima
823|2569	Y_OTU_17	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Wilcoxina	Wilcoxina mikolae
823|3817	Y_OTU_155	Fungi	Ascomycota	Sordariomycetes	Sordariomycetidae_Incertae sedis	Plectosphaerellaceae	Plectosporium	Plectosporium alismatis
823|4585	Y_OTU_16	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	unclassified_Pyronemataceae	unclassified_Pyronemataceae
