repseq	Y_OTUS	domain	phylum	class	order	family	genus	species
847|347	Y_OTU_152	Fungi	Ascomycota	Sordariomycetes	Sordariomycetidae_Incertae sedis	Plectosphaerellaceae	Plectosporium	unclassified_Plectosporium
847|4504	Y_OTU_80	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium delphinoides
847|7164	Y_OTU_308	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium equiseti
848|4450	Y_OTU_9	Fungi	Basidiomycota	Agaricomycetes	Agaricales	unclassified_Agaricales	unclassified_Agaricales	unclassified_Agaricales
848|5449	Y_OTU_216	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Chaetothyriales_Incertae sedis	Coniosporium	Coniosporium apollinis
848|5541	Y_OTU_396	Fungi	unclassified_Fungi	unclassified_Fungi	unclassified_Fungi	unclassified_Fungi	unclassified_Fungi	unclassified_Fungi
848|5545	Y_OTU_324	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Teratosphaeriaceae	Teratosphaeria	unclassified_Teratosphaeria
848|6064	Y_OTU_119	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Embellisia	Embellisia abundans
848|7351	Y_OTU_246	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Crocicreas	Glarea lozoyensis
850|1799	Y_OTU_247	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	Cryptococcus flavescens
850|5898	Y_OTU_196	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium	Penicillium spathulatum
91C|1904	Y_OTU_404	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	unclassified_Cryptococcus
91C|3437	Y_OTU_109	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium equiseti
91C|5401	Y_OTU_81	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium delphinoides
91C|957	Y_OTU_309	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium equiseti
94C|1385	Y_OTU_141	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Ceratobasidium	Ceratobasidium sp 0109CI64L1
94C|1855	Y_OTU_140	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	Exophiala xenobiotica
94C|3122	Y_OTU_110	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium equiseti
